PLAYER,POS,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,PPG,Free Throw %,Three Point %,Two Point %,EFG
Trendon Watford,PF,,,,,,,11.69,3.23,3.27,28,35,16.3,65.1,,,
Matt Hurt,PF,,,,,,,11.44,3.25,3.34,25.5,32.5,18.3,72.4,,,
Marcus Zegarowski,PG,,,,,,,11.47,3.26,3.11,30,35.5,15.8,78.6,,,
Ayo Dosunmu,SG,,,,,,,11.51,3.27,3.23,27,33.5,20.1,78.3,,,
Josh Christopher,SG,,,,,,,11.32,3.3,3.14,29.5,37.5,14.3,80,,,
RaiQuan Gray,PF,,,,,,,11.69,3.3,3.25,26.5,31.5,11.9,76.3,,,
Sandro Mamukelashvili,C,,,,,,,11.63,3.3,3.21,30.5,36.5,17.5,71.4,,,
Trey Murphy III,SF,,,,,,,11.65,3.32,3.14,34,38,11.3,92.7,,,
Charles Bassey,C,,,,,,,12.19,3.33,3.13,33,36,17.6,75.9,,,
Quentin Grimes,SG,,,,,,,11.09,3.33,3.07,30.5,38.5,17.8,78.8,,,
Joshua Primo,SG,,,,,,,10.97,3.36,3.22,30.5,37.5,8.1,75,,,
Kessler Edwards,PF,,,,,,,11.3,3.38,3.25,28,37,17.2,87.6,,,
Luka Garza,C,,,,,,,11.9,3.38,3.51,24,29.5,24.1,70.9,,,
Jericho Sims,C,,,,,,,11.59,3.38,3.05,37,44.5,9.2,52,,,
Moses Wright,PF,,,,,,,11.2,3.42,3.15,31.5,38,17.4,65.8,,,
Max Abmas,PG,,,,,,,10.9,3.49,3.12,28.5,32.5,24.5,89,,,
Isaiah Mobley,PF,,,,,,,12.7,3.5,3.3,26.5,32,9.9,54.5,,,
Neemias Queta,C,,,,,,,11.85,3.5,3.29,27,33,14.9,70.7,,,
Ariel Hukporti,C,,,,,,,12.2,3.53,3.12,24.5,31,10.2,54.3,,,
Julian Strawther,SF,,,,,,,10.3,3.37,3.26,28.5,35,11.8,70.5,"Max Bench Press 
(repetitions)",,
Andrew Nembhard,PG,,,,,,,10.46,3.02,3.26,26.5,35,11.8,87.3,-,,
Jake LaRavia,PF,,,,,,,10.58,2.89,3.37,27.5,34,14.6,77.7,-,,
Terquavion Smith,SG,,,,,,,10.63,3.03,3.14,30.5,38.5,16.3,69.8,-,,
Kennedy Chandler,PG,,,,,,,10.73,2.89,-,31,41.5,13.9,60.6,-,,
Matthew Mayer,SF,,,,,,,10.74,-,3.39,25.5,31.5,9.8,70,-,,
David Roddy,PF,,,,,,,10.75,3.1,3.22,27,35.5,19.2,69.1,-,,
Ochai Agbaji,SG,,,,,,,10.77,3.11,3.13,32,39,18.8,74.3,-,,
Max Christie,SG,,,,,,,10.82,3.02,3.07,32,37.5,9.3,82.4,-,,
Keon Ellis,SG,,,,,,,10.87,3.02,3.18,28,35.5,12.1,88.1,-,,
Wendell Moore,SG,,,,,,,10.94,3.21,3.3,32.5,38.5,13.4,80.5,-,,
Collin Gillespie,PG,,,,,,,10.95,3.01,3.21,26.5,33,15.6,90.5,-,,
Alondes Williams,SG,,,,,,,10.96,3.11,3.15,30,35.5,18.5,69.1,-,,
Christian Braun,SG,,,,,,,11,3.13,3.16,33.5,40,14.1,73.3,-,,
Gabriele Procida,SF,,,,,,,11.02,3.14,3.07,29.5,35,7,78.4,-,,
Johnny Juzang,SG,,,,,,,11.03,3.17,3.29,27.5,32.5,16,87.7,-,,
Dereon Seabron,SG,,,,,,,11.03,3.04,3.12,30.5,38,17.3,71.3,-,,
Peyton Watson,SF,,,,,,,11.03,3.24,3.28,28,33.5,3.3,68.8,-,,
Scotty Pippen Jr.,PG,,,,,,,11.07,3.1,3.21,30.5,37.5,20.4,74.9,-,,
E.J. Liddell,PF,,,,,,,11.11,3.23,3.26,35.5,38,19.4,76.5,-,,
Bryce McGowens,SG,,,,,,,11.12,3.16,3.27,29.5,34,16.8,83.1,-,,
Jalen Williams,SG,,,,,,,11.13,3.17,3.11,33.5,39,18,80.9,-,,
John Butler Jr.,PF,,,,,,,11.16,3.04,3.33,26.5,28.5,5.9,44,-,,
Moussa Diabate,C,,,,,,,11.16,2.9,3.26,29,36.5,9,61.9,-,,
Iverson Molinar,PG,,,,,,,11.23,3.1,3.19,31,38,17.5,86.8,-,,
Ryan Rollins,SG,,,,,,,11.26,3.28,3.07,30.5,36.5,18.9,80.2,-,,
Christian Koloko,C,,,,,,,11.3,3.19,3.27,28,33.5,12.6,73.5,-,,
Trevor Keels,SG,,,,,,,11.33,3.32,3.27,24.5,31,11.5,67,-,,
Hugo Besson,SG,,,,,,,11.36,3.25,3.4,24.5,31.5,13.9,80,-,,
Malaki Branham,SG,,,,,,,11.38,3.09,3.17,29,35,13.7,83.3,-,,
JD Davison,PG,,,,,,,11.38,3.23,3.26,30,37,8.5,72.8,-,,
Julian Champagnie,SF,,,,,,,11.39,3.04,3.14,28.5,34.5,19.2,78.1,-,,
Orlando Robinson,C,,,,,,,11.4,3.23,3.55,23,27.5,19.4,71.6,-,,
Ron Harper Jr.,SF,,,,,,,11.41,3.24,3.4,26,30.5,15.8,79.5,-,,
Matteo Spagnolo,PG,,,,,,,11.42,3.16,3.4,25.5,31.5,12.2,86.1,-,,
Justin Lewis,PF,,,,,,,11.49,3.02,3.23,32.5,35,16.8,76.1,-,,
Jabari Walker,PF,,,,,,,11.53,3.12,3.24,29.5,32.5,14.6,78.4,-,,
Aminu Mohammed,SG,,,,,,,11.54,3.04,3.33,29.5,36,13.7,72.2,-,,
Blake Wesley,SG,,,,,,,11.55,3.25,3.21,30,36,14.4,65.7,-,,
Kendall Brown,SF,,,,,,,11.57,3.05,3.29,31.5,41,9.7,68.9,-,,
Jaylin Williams,C,,,,,,,11.64,3.1,3.5,24.5,30,10.9,72.9,-,,
Drew Timme,C,,,,,,,11.71,3.31,3.38,25.5,31.5,21.2,63.2,-,,
Harrison Ingram,SF,,,,,,,11.83,3.26,3.31,29.5,35,10.5,66.3,-,,
Kofi Cockburn,C,,,,,,,12.11,3.31,3.33,29.5,32.5,20.9,65.5,-,,
Patrick Baldwin Jr.,SF,,,,,,,12.25,3.3,3.45,23.5,26.5,12.1,74.3,-,,
Trevion Williams,C,,,,,,,12.75,3.46,3.48,27.5,30,12,59.7,-,,
